id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Carrie;Breitenberg;Chase_Ernser@yahoo.com;closely;2025-05-23T07:20:46;24764;24605
2;Zella;Flatley;Tom58@hotmail.com;cautiously massage excluding;2025-05-22T17:44:58;5347;22841
3;Suzanne;Runolfsdottir;Amya_McClure@gmail.com;gee leading step;2025-05-22T21:49:05;14748;25453
4;Brooke;Renner;Joany.Hayes97@hotmail.com;up anxiously instead;2025-05-23T00:56:47;3491;2391
5;Jerrell;Mills;Ona.Adams@gmail.com;sympathetically than;2025-05-22T11:47:26;18009;22305
6;Colt;Reichert;Rosalee.Kilback4@gmail.com;modulo as;2025-05-23T07:26:00;11388;3952
7;Lorenz;Goyette;Alford68@hotmail.com;brood;2025-05-22T21:48:12;18537;15335
8;Roger;Ryan;Quentin.Powlowski@hotmail.com;gladly wolf and;2025-05-22T12:56:50;8115;138
9;Peggie;Stokes;Lazaro0@hotmail.com;ha excepting;2025-05-22T15:03:18;26053;22420
10;Paolo;Yundt;Elza.Ritchie@hotmail.com;pfft;2025-05-22T23:24:12;15111;32119
